"Sample","CNGB","Cellcount","Plate","sac_age","tx_age","tx","samplename","tech"
"S1","Normal",150000,"1 A1","P30",NA,FALSE,"S1_L001","flowcell1"
"S18","Mutant",250000,"5 D1","P210",NA,FALSE,"S18_L001","flowcell1"
"S17","Mutant",191000,"5 C1","P210",NA,FALSE,"S17_L001","flowcell1"
"S15","Mutant",364000,"5 A1","P210",NA,FALSE,"S15_L001","flowcell1"
"S16","Mutant",273000,"5 B1","P210",NA,FALSE,"S16_L001","flowcell1"
"S1","Normal",150000,"1 A1","P30",NA,FALSE,"S1_L002","flowcell2"
"S2","Normal",1e+05,"1 B1","P30",NA,FALSE,"S2_L002","flowcell2"
"S3","Normal",126000,"1 C1","P30",NA,FALSE,"S3_L002","flowcell2"
"S18","Mutant",250000,"5 D1","P210",NA,FALSE,"S18_L002","flowcell2"
"S17","Mutant",191000,"5 C1","P210",NA,FALSE,"S17_L002","flowcell2"
"S15","Mutant",364000,"5 A1","P210",NA,FALSE,"S15_L002","flowcell2"
"S16","Mutant",273000,"5 B1","P210",NA,FALSE,"S16_L002","flowcell2"
"S1","Normal",150000,"1 A1","P30",NA,FALSE,"S1_L003","singlelane"
"S2","Normal",1e+05,"1 B1","P30",NA,FALSE,"S2_L003","singlelane"
"S3","Normal",126000,"1 C1","P30",NA,FALSE,"S3_L003","singlelane"
"S18","Mutant",250000,"5 D1","P210",NA,FALSE,"S18_L003","singlelane"
"S17","Mutant",191000,"5 C1","P210",NA,FALSE,"S17_L003","singlelane"
"S15","Mutant",364000,"5 A1","P210",NA,FALSE,"S15_L003","singlelane"
"S16","Mutant",273000,"5 B1","P210",NA,FALSE,"S16_L003","singlelane"
