"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001654","BP","GO:0001654","eye development","60/1031","408/21306",1.28220260588279e-14,5.22534909906119e-11,4.20672152885892e-11,"Fgf2/Nrl/Bmp7/Slc25a25/Rhoj/Cacna1s/Bdnf/Nf2/Stat3/Spred2/Nphp4/Aldh1a1/Rarg/Tulp1/Tsku/Cfh/Ppp2r3a/Rxra/Grk1/Cryab/Spred3/Col4a1/Sdk2/Gnat1/Chrdl1/Pde6b/Rp1l1/Bhlhe22/Inhba/Meis3/Dll1/Maf/Mitf/Rho/Sh3pxd2b/Dscam/Vim/Rp1/Shroom2/Gnb1/Mfrp/Pde6a/Rs1/Rarb/Inhbb/Slc4a5/Lif/Nr2e3/Dcx/Crybb2/Thy1/Gja1/Hsf4/Fzd5/Rpe65/Sox8/Bmp4/Crygs/Epha2/Sox2",60
"GO:0150063","BP","GO:0150063","visual system development","60/1031","412/21306",2.00320072802806e-14,5.22534909906119e-11,4.20672152885892e-11,"Fgf2/Nrl/Bmp7/Slc25a25/Rhoj/Cacna1s/Bdnf/Nf2/Stat3/Spred2/Nphp4/Aldh1a1/Rarg/Tulp1/Tsku/Cfh/Ppp2r3a/Rxra/Grk1/Cryab/Spred3/Col4a1/Sdk2/Gnat1/Chrdl1/Pde6b/Rp1l1/Bhlhe22/Inhba/Meis3/Dll1/Maf/Mitf/Rho/Sh3pxd2b/Dscam/Vim/Rp1/Shroom2/Gnb1/Mfrp/Pde6a/Rs1/Rarb/Inhbb/Slc4a5/Lif/Nr2e3/Dcx/Crybb2/Thy1/Gja1/Hsf4/Fzd5/Rpe65/Sox8/Bmp4/Crygs/Epha2/Sox2",60
"GO:0048880","BP","GO:0048880","sensory system development","60/1031","416/21306",3.1089761674387e-14,5.40650955517590e-11,4.35256663441418e-11,"Fgf2/Nrl/Bmp7/Slc25a25/Rhoj/Cacna1s/Bdnf/Nf2/Stat3/Spred2/Nphp4/Aldh1a1/Rarg/Tulp1/Tsku/Cfh/Ppp2r3a/Rxra/Grk1/Cryab/Spred3/Col4a1/Sdk2/Gnat1/Chrdl1/Pde6b/Rp1l1/Bhlhe22/Inhba/Meis3/Dll1/Maf/Mitf/Rho/Sh3pxd2b/Dscam/Vim/Rp1/Shroom2/Gnb1/Mfrp/Pde6a/Rs1/Rarb/Inhbb/Slc4a5/Lif/Nr2e3/Dcx/Crybb2/Thy1/Gja1/Hsf4/Fzd5/Rpe65/Sox8/Bmp4/Crygs/Epha2/Sox2",60
"GO:0043010","BP","GO:0043010","camera-type eye development","53/1031","361/21306",4.94729667970341e-13,6.45251169450317e-10,5.19466151368858e-10,"Fgf2/Nrl/Bmp7/Slc25a25/Rhoj/Cacna1s/Nf2/Spred2/Nphp4/Aldh1a1/Rarg/Tulp1/Tsku/Cfh/Rxra/Grk1/Cryab/Spred3/Col4a1/Sdk2/Gnat1/Pde6b/Rp1l1/Bhlhe22/Inhba/Dll1/Maf/Mitf/Rho/Dscam/Vim/Rp1/Shroom2/Gnb1/Mfrp/Pde6a/Rs1/Rarb/Slc4a5/Lif/Nr2e3/Dcx/Crybb2/Thy1/Gja1/Hsf4/Fzd5/Rpe65/Sox8/Bmp4/Crygs/Epha2/Sox2",53
"GO:0060041","BP","GO:0060041","retina development in camera-type eye","30/1031","172/21306",9.33997919159244e-10,9.74533428850755e-07,7.84558252093765e-07,"Nrl/Rhoj/Nphp4/Rarg/Tulp1/Cfh/Grk1/Col4a1/Sdk2/Gnat1/Pde6b/Rp1l1/Bhlhe22/Dll1/Rho/Dscam/Rp1/Gnb1/Mfrp/Pde6a/Rs1/Rarb/Slc4a5/Lif/Nr2e3/Dcx/Thy1/Rpe65/Sox8/Sox2",30
"GO:0033555","BP","GO:0033555","multicellular organismal response to stress","22/1031","101/21306",2.26273283912091e-09,1.96744620361563e-06,1.58391298738464e-06,"Adrb1/Mef2c/Drd4/Bdnf/Cacna1b/Kalrn/Grm7/Cacna1e/Dbi/Drd1/Nr4a2/Nmur2/Ntrk1/Neurod2/Asic1/Nos1/Gja1/Tspo/Dbh/Atp1a2/Gabra5/Apoe",22
"GO:0007601","BP","GO:0007601","visual perception","28/1031","160/21306",3.12139815657043e-09,2.13355494797807e-06,1.71764055616406e-06,"Cnga1/Pde6g/Wfs1/Guca1b/Tulp1/Cfh/Ush2a/Grk1/Sema5b/Gnat1/Pde6b/Rp1l1/Olfm2/Prcd/Rho/Rp1/Mfrp/Pde6a/Rs1/Gja3/Rcvrn/Crybb2/Pdc/Hsf4/Gucy2f/Rpe65/Ngb/Crygs",28
"GO:0048592","BP","GO:0048592","eye morphogenesis","30/1031","181/21306",3.27169629745535e-09,2.13355494797807e-06,1.71764055616406e-06,"Fgf2/Nrl/Bmp7/Bdnf/Stat3/Aldh1a1/Rarg/Tulp1/Tsku/Cfh/Ppp2r3a/Grk1/Sdk2/Gnat1/Bhlhe22/Dll1/Dscam/Rp1/Shroom2/Mfrp/Rs1/Rarb/Nr2e3/Thy1/Fzd5/Rpe65/Sox8/Bmp4/Epha2/Sox2",30
"GO:0050953","BP","GO:0050953","sensory perception of light stimulus","28/1031","164/21306",5.52409844264785e-09,3.2021357305882e-06,2.577912606569e-06,"Cnga1/Pde6g/Wfs1/Guca1b/Tulp1/Cfh/Ush2a/Grk1/Sema5b/Gnat1/Pde6b/Rp1l1/Olfm2/Prcd/Rho/Rp1/Mfrp/Pde6a/Rs1/Gja3/Rcvrn/Crybb2/Pdc/Hsf4/Gucy2f/Rpe65/Ngb/Crygs",28
"GO:0042596","BP","GO:0042596","fear response","16/1031","58/21306",9.45201193714583e-09,4.93111462760898e-06,3.96984501360125e-06,"Adrb1/Mef2c/Drd4/Bdnf/Kalrn/Grm7/Cacna1e/Dbi/Drd1/Neurod2/Asic1/Gja1/Dbh/Atp1a2/Gabra5/Apoe",16
