"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000037225",628.799705148787,4.61312518715691,0.39672110802773,11.6281314349285,2.96517245844559e-31,6.10173188498934e-27
"ENSMUSG00000028766",1576.72138705011,1.85876890726579,0.161298819953894,11.5237601105644,1.00143439580506e-30,1.03037584984383e-26
"ENSMUSG00000056427",304.063094213258,2.40032124057144,0.21273740295919,11.2830240812515,1.5917823652813e-29,1.09185658375862e-25
"ENSMUSG00000092090",72.4062152835463,-4.91118001279327,0.446463617424889,-11.0001796812021,3.81371242901829e-28,1.56957148728677e-24
"ENSMUSG00000000078",880.839551140768,1.63285612157439,0.148312615388797,11.0095565188025,3.43691306964359e-28,1.56957148728677e-24
"ENSMUSG00000019055",465.010052243302,-1.6576705431753,0.152683532143759,-10.8569046045812,1.84911138604466e-27,6.34183568367118e-24
"ENSMUSG00000021699",1628.65052897708,-1.12984802605396,0.104505432807873,-10.8113807645878,3.04058563054521e-27,8.93845301505134e-24
"ENSMUSG00000026628",419.200407095052,2.88522566065339,0.269629314797413,10.7007120602639,1.00999076644683e-26,2.59794874899286e-23
"ENSMUSG00000027562",5778.1866078898,-1.13679227924343,0.110278219646078,-10.3084025376162,6.45655793892659e-25,1.32863049267231e-21
"ENSMUSG00000020176",245.304138458474,2.29101849520486,0.22224663003031,10.3084509983004,6.45330355716043e-25,1.32863049267231e-21
"ENSMUSG00000034926",495.769769829199,1.57805380030672,0.155637617008377,10.1392827173766,3.69804898841046e-24,6.91804109850095e-21
"ENSMUSG00000063229",3422.07056514971,-1.69235145311168,0.169170098069241,-10.0038450791641,1.46592124133064e-23,2.51381060867515e-20
"ENSMUSG00000020656",308.124153696921,1.86746314306263,0.190774809645054,9.7888350487003,1.25736159913673e-22,1.99030669131043e-19
"ENSMUSG00000059182",118.479138711034,2.47333610654705,0.253790577054985,9.74557895430135,1.92677413839699e-22,2.83208272999524e-19
"ENSMUSG00000040632",79.6513919965936,-4.12678144263694,0.425850341041876,-9.69068483669745,3.30306343426507e-22,4.53136262335377e-19
"ENSMUSG00000030522",1612.05260888348,-1.33592110339917,0.138513533124632,-9.64469733218864,5.17636687550642e-22,6.6574548477607e-19
"ENSMUSG00000025986",762.898143764736,1.6048360688835,0.167691326487235,9.57017934380565,1.06720386199661e-21,1.29181888659802e-18
"ENSMUSG00000044927",93.9724720189864,-2.74367469410842,0.29241683833756,-9.38275206621714,6.42727820681697e-21,7.34780727443776e-18
"ENSMUSG00000003363",4497.08206865704,-0.808512227524697,0.0872917030637565,-9.26218872066424,2.00283801766676e-20,2.16917898566035e-17
"ENSMUSG00000020866",2872.55670969223,-1.49542920119833,0.162117964682337,-9.22432750823489,2.85345781035689e-20,2.93592274107621e-17
"ENSMUSG00000024427",656.182475947183,-1.46795599587878,0.161941805040854,-9.06471306472374,1.24932636964028e-19,1.2242208587837e-16
"ENSMUSG00000101609",1312.08422155824,1.05699745887478,0.116785126199108,9.05078834330917,1.41939838124495e-19,1.32765363132994e-16
"ENSMUSG00000047085",890.08622891191,-0.980986196153134,0.109396441624838,-8.96725872965142,3.03985446851974e-19,2.71974457622605e-16
"ENSMUSG00000034452",165.994916927908,-1.89159274470343,0.212802732408101,-8.88894951346695,6.16893493450426e-19,5.2893476284262e-16
"ENSMUSG00000022994",371.727239907709,-1.28292495392683,0.144759884626309,-8.86243421123634,7.82860105796134e-19,6.44387810282914e-16
"ENSMUSG00000052676",751.563595093761,0.997512853430389,0.113145177572335,8.81622067182377,1.18388042722927e-18,9.36995824289383e-16
"ENSMUSG00000108472",512.192743579782,-1.23425343349819,0.141405201766683,-8.72848677472768,2.58102623954691e-18,1.96712436879246e-15
"ENSMUSG00000026179",1536.38668251249,-0.965308325700592,0.111487882515781,-8.65841474353907,4.78370226882796e-18,3.51567947456935e-15
"ENSMUSG00000032193",229.728374931145,1.67863402180981,0.197093499884846,8.51694258202615,1.63820668015675e-17,1.16244886428502e-14
"ENSMUSG00000042109",1128.22133434389,-0.975366139363537,0.116403849348198,-8.3791570882328,5.33080871790138e-17,3.65657939323249e-14
"ENSMUSG00000047787",346.016410046015,1.38950701385079,0.166908818759993,8.32494666353632,8.43667203557664e-17,5.60031732735794e-14
"ENSMUSG00000064125",400.971117640246,-1.57669320127727,0.191207131867445,-8.24599577368442,1.63790459899943e-16,1.05327502619407e-13
"ENSMUSG00000105039",134.903544081771,-2.85690007043726,0.347807694972907,-8.21402203496332,2.13900305378097e-16,1.33383044971833e-13
"ENSMUSG00000028890",1791.67349625371,-0.744898914605218,0.0910060605052,-8.18515723535418,2.71948347318471e-16,1.55946928215652e-13
"ENSMUSG00000051527",1265.90095148567,-0.8902164699688,0.108706801551372,-8.1891515274516,2.63074159037463e-16,1.55946928215652e-13
"ENSMUSG00000033880",665.626693242277,0.989521749471439,0.120897902281951,8.18477186778425,2.72819973552506e-16,1.55946928215652e-13
"ENSMUSG00000051242",628.044852510468,-1.66465306576047,0.203747200828699,-8.17018864057934,3.07907618169539e-16,1.71246566667372e-13
"ENSMUSG00000092187",253.503690478703,-1.3982211212628,0.171390228690959,-8.15811456663603,3.40294666732262e-16,1.84278517158328e-13
"ENSMUSG00000046879",65.6185292577596,2.92875056604172,0.359783375980642,8.14031653924806,3.94245803995939e-16,2.08020260375088e-13
"ENSMUSG00000008999",1085.5230884505,-0.989380264467844,0.122236049904768,-8.09401371558268,5.77301850101563e-16,2.96992936784749e-13
"ENSMUSG00000003518",3760.82926794119,-0.835084191383389,0.103833853193452,-8.04250411306177,8.80209320992194e-16,4.41779205057985e-13
"ENSMUSG00000050174",143.054553695718,2.53332468684118,0.315878773986109,8.0199269323256,1.05808086368919e-15,5.06353209604561e-13
"ENSMUSG00000019966",89.9737807610681,4.35524507363142,0.543007455653699,8.02059903282241,1.05230706810097e-15,5.06353209604561e-13
"ENSMUSG00000058952",892.218944694413,3.18485023535961,0.398712568963693,7.98783505530679,1.37329021514849e-15,6.42262864711947e-13
"ENSMUSG00000091722",5722.29023848684,0.942663613763655,0.118154383282954,7.97823650355977,1.48438768638672e-15,6.64037604575344e-13
"ENSMUSG00000113536",545.027648893292,1.25552002875735,0.157333101268512,7.9800119532038,1.4631912036669e-15,6.64037604575344e-13
