"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001503","GO:0001503","ossification","30/509","393/21306",2.55794018455034e-08,7.59435619890218e-05,5.83757352943865e-05,"Igfbp5/Ptgs2/Ddr2/Bmp2/Cebpb/Chrdl1/Sox2/Fgf2/Csf1/Ccn1/Glis1/Alpl/Epha2/Dhrs3/Mn1/Rflna/Fzd9/Ccn2/Gja1/Egr2/Sfrp1/Csgalnact1/Mmp14/Cnmd/Mef2c/Wnt7b/Dhh/Cebpd/Runx2/Pkdcc",30
"GO:0061448","GO:0061448","connective tissue development","24/509","275/21306",5.41690634265234e-08,7.59435619890218e-05,5.83757352943865e-05,"Arid5a/Klf7/Frzb/Bmp2/Fgf2/Csf1/Ccn1/Rflna/Lncpint/Creb5/Ccn2/Csgalnact1/Maf/Rarb/Cnmd/Efemp1/Anxa6/Mef2c/Trps1/Wnt7b/Rarg/Runx2/Pkdcc/Mkx",24
"GO:0048608","GO:0048608","reproductive structure development","33/509","478/21306",5.73755377037923e-08,7.59435619890218e-05,5.83757352943865e-05,"Fzd5/Ptgs2/Rxra/Cd44/Ncoa3/Ptgis/Cebpb/Sox2/Ptx3/Ntrk1/Ccn1/Dhcr24/Axl/Spint2/Lhb/Adm/Nupr1/Htra1/Gja1/Kitl/Sfrp1/Cdh1/Icam1/Lif/Dlx3/Socs3/Inhba/Zfp36l1/Wnt7b/Dhh/Rarg/Adamts1/Anxa1",33
"GO:0061458","GO:0061458","reproductive system development","33/509","482/21306",6.98010680046157e-08,7.59435619890218e-05,5.83757352943865e-05,"Fzd5/Ptgs2/Rxra/Cd44/Ncoa3/Ptgis/Cebpb/Sox2/Ptx3/Ntrk1/Ccn1/Dhcr24/Axl/Spint2/Lhb/Adm/Nupr1/Htra1/Gja1/Kitl/Sfrp1/Cdh1/Icam1/Lif/Dlx3/Socs3/Inhba/Zfp36l1/Wnt7b/Dhh/Rarg/Adamts1/Anxa1",33
"GO:0061035","GO:0061035","regulation of cartilage development","12/509","71/21306",1.08137421633573e-07,9.41228117898615e-05,7.23496265161039e-05,"Frzb/Bmp2/Ccn1/Rflna/Ccn2/Maf/Rarb/Efemp1/Trps1/Rarg/Runx2/Pkdcc",12
"GO:0060713","GO:0060713","labyrinthine layer morphogenesis","8/509","27/21306",1.4950467466472e-07,0.000108440724023477,8.33554133481545e-05,"Fzd5/Ncoa3/Ccn1/Spint2/Adm/Socs3/Zfp36l1/Wnt7b",8
"GO:0001654","GO:0001654","eye development","29/509","408/21306",2.01331810648919e-07,0.000111946342616441,8.60500863087869e-05,"Fzd5/Cfh/Vim/Rxra/Chrdl1/Sox2/Fgf2/Rpe65/Epha2/Crybb2/Slc4a5/Mitf/Gja1/Col4a1/Hsf4/Maf/Rarb/Mfrp/Cryab/Ppp2r3a/Lif/Nf2/Stat3/Sdk2/Inhba/Rhoj/Rarg/Crygs/Aldh1a1",29
"GO:0045765","GO:0045765","regulation of angiogenesis","25/509","320/21306",2.43407575412383e-07,0.000111946342616441,8.60500863087869e-05,"Stat1/Col4a3/Ptgs2/Ptgis/Fgf2/Ntrk1/F3/Epha2/Cxcl10/Adamts9/Tnfrsf1a/Adm/Dcn/Tlr3/Hmox1/Cnmd/Lif/Ccl2/Stat3/Apoh/Rhoj/Enpp2/Adamts1/Ccbe1/Anxa1",25
"GO:0150063","GO:0150063","visual system development","29/509","412/21306",2.47012145490621e-07,0.000111946342616441,8.60500863087869e-05,"Fzd5/Cfh/Vim/Rxra/Chrdl1/Sox2/Fgf2/Rpe65/Epha2/Crybb2/Slc4a5/Mitf/Gja1/Col4a1/Hsf4/Maf/Rarb/Mfrp/Cryab/Ppp2r3a/Lif/Nf2/Stat3/Sdk2/Inhba/Rhoj/Rarg/Crygs/Aldh1a1",29
"GO:0030198","GO:0030198","extracellular matrix organization","24/509","301/21306",2.920740813489e-07,0.000111946342616441,8.60500863087869e-05,"Col4a3/Ddr2/Ptx3/Ctss/Ccn1/Pdpn/Antxr1/Adamts9/Tnfrsf1a/Bcl3/Spint2/Ccn2/Col4a1/Csgalnact1/Crispld2/Mmp14/Scara3/Mfap4/Pmp22/Nid1/Myh11/Adamts1/Adamts5/Mkx",24
