Sample,Group,Genotype,Cellcount,Plate
6426_S4,P30,nnGgrr,150000,2 A1
6426_S5,P30,nnGgrr,113000,2 B1
6426_S6,P30,nnGgrr,121000,2 C1
6426_S7,P30,nnGgrr,181000,2 D1
,AVG,,141250,
6426_S1,P30,NnGgrr,150000,1 A1
6426_S2,P30,NnGgrr,100000,1 B1
6426_S3,P30,NnGgrr,126000,1 C1
,AVG,,125333.3333,
6426_S8,P90,nnGgrr,200000,3 A1
6426_S9,P90,nnGgrr,226000,3 B1
6426_S10,P90,nnGgrr,168000,3 C1
6426_S11,P90,nnGgrr,209000,3 D1
,AVG,,200750,
6426_S12,P90,NnGgrr,173000,4 A1
6426_S13,P90,NnGgrr,210000,4 B1
6426_S14,P90 ,NnGgrr,129000,4 C1
,AVG,,170666.6667,
6426_S18,P210,nnGgrr,250000,5 D1
6426_S17,P210,nnGgrr,191000,5 C1
6426_S15,P210,nnGgrr,364000,5 A1
6426_S16,P210,nnGgrr,273000,5 B1
,AVG,,269500,
6426_S20,P210,NnGgrr,187000,6 B1
6426_S21,P210,NnGgrr,121000,6 C1
6426_S19,P210,NnGgrr,252000,6 A1
,AVG,,186666.6667,
6426_S30,P30/P37,nnGgR,155000,8 C1
6426_S31,P30/P37,nnGgR,175000,8 D1
6426_S28,P30/P37,nnGgR,229000,8 A1
6426_S29,P30/P37,nnGgR,117000,8 B1
,AVG,,169000,
6426_S22,P30/P37,NnGgR,143000,7 A1
6426_S23,P30/P37,NnGgR,148000,7 B1
6426_S24,P30/P37,NnGgR,77000,7 C1
,AVG,,122666.6667,
6426_S35,P30/P150,nnGgR,347000,9 D1
6426_S32,P30/P150,nnGgR,376000,9 A1
6426_S33,P30/P150,nnGgR,327000,9 B1
6426_S34,P30/P150,nnGgR,229000,9 C1
,AVG,,319750,
6426_S27,P30/P150,NnGgRr,228000,7 F1
6426_S25,P30/P150,NnGgR,257000,7 D1
6426_S26,P30/P150,NnGgR,208000,7 E1
,AVG,,231000,
6426_S36,P90/P150,nnGgR,143000,10 A1
6426_S37,P90/P150,nnGgR,285000,10 B1
6426_S38,P90/P150,nnGgR,220000,10 C1
6426_S39,P90/P150,nnGgR,263000,10 D1
,,,227750,
6426_S40,P90/P150,NnGgR,186000,10 E1
6426_S41,P90/P150,NNGgR,135000,10 F1
6426_S42,P90/P150,NnGgR,206000,10 G1
